model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200708_161529,0.743946165021552,0.498095623603985,0.545076891235479,0.320509530225811,0.40393300361755,0.163161871411496
StackedEnsemble_AllModels_AutoML_20200708_161529,0.743797946103262,0.498043056060915,0.54506616976351,0.322180633000966,0.403916425278049,0.163148478609397
GLM_1_AutoML_20200708_161529,0.73703150790712,0.50019217163521,0.533168296582302,0.326323052344677,0.404668293148046,0.163756427479353
GBM_grid__1_AutoML_20200708_161529_model_1,0.709479810588454,0.524918447634661,0.509661544612914,0.34731642126203,0.41599976936883,0.17305580811492
GBM_grid__1_AutoML_20200708_161529_model_2,0.705622464419201,0.527204659568832,0.505886131441452,0.348631208079017,0.417007680794893,0.173895405841935
DRF_1_AutoML_20200708_161529,0.704726633129051,0.536222142673595,0.501294532360688,0.348743598337484,0.421348082033678,0.177534206233459
XRT_1_AutoML_20200708_161529,0.701702089655245,0.536449078035943,0.49948004888784,0.350498845530173,0.421458240342426,0.177627048352534
GBM_grid__1_AutoML_20200708_161529_model_3,0.687088435170591,0.53300214753787,0.489468727767898,0.364658455615376,0.419661542576283,0.176115810317505
GBM_3_AutoML_20200708_161529,0.662760041740835,0.54563952630762,0.469212236520059,0.429392967733301,0.425518134333902,0.181065682647005
GBM_4_AutoML_20200708_161529,0.661903942125783,0.545380240634682,0.463611221497273,0.417644107327665,0.425466548527516,0.181021783915917
GBM_2_AutoML_20200708_161529,0.660269886108356,0.546037163391744,0.462809689093828,0.42780651319628,0.425700817721568,0.181221186208811
GBM_5_AutoML_20200708_161529,0.660135927226265,0.549637434466236,0.441103030448866,0.408046497105653,0.427856233073722,0.183060956180035
GBM_1_AutoML_20200708_161529,0.655819262484958,0.545998327847466,0.460678464736055,0.434132280560013,0.425712255352776,0.181230924357547
GBM_grid__1_AutoML_20200708_161529_model_4,0.604286661268006,0.568350205704389,0.388545218013521,0.456116026848306,0.436657095453805,0.190669419010153
DeepLearning_1_AutoML_20200708_161529,0.591633168655425,3.62952967655053,0.349482738001684,0.4447303573199,0.760099212560564,0.577750812935189
DeepLearning_grid__1_AutoML_20200708_161529_model_1,0.564543634263081,4.53554014735478,0.317719923849564,0.5,0.642052063853809,0.412230852698936
DeepLearning_grid__3_AutoML_20200708_161529_model_1,0.532256374073555,4.00278883830074,0.300929813154688,0.5,0.663429805461591,0.440139106774804
DeepLearning_grid__2_AutoML_20200708_161529_model_1,0.524509513746413,4.1998307903399,0.289207561283813,0.5,0.663720233552679,0.440524548427222
